run,arm,epoch,ckpt,success,wall_sec,eval
lown_n100_bare,lown_n100_bare,10,epoch=0010-test_mean_score=-1.000,0.44,104.0,ddpm16
lown_n100_bare,lown_n100_bare,20,epoch=0020-test_mean_score=-1.000,0.76,106.5,ddpm16
lown_n100_bare,lown_n100_bare,30,epoch=0030-test_mean_score=-1.000,0.82,106.1,ddpm16
lown_n100_bare,lown_n100_bare,40,epoch=0040-test_mean_score=-1.000,0.76,103.4,ddpm16
lown_n100_bare,lown_n100_bare,50,epoch=0050-test_mean_score=-1.000,0.74,104.1,ddpm16
lown_n100_zb,lown_n100_zb,10,epoch=0010-test_mean_score=-1.000,0.08,116.8,ddpm16
lown_n40_zb,lown_n40_zb,10,epoch=0010-test_mean_score=-1.000,0.0,120.8,ddpm16
lown_n20_bare,lown_n20_bare,10,epoch=0010-test_mean_score=-1.000,0.3,104.6,ddpm16
lown_n40_bare,lown_n40_bare,10,epoch=0010-test_mean_score=-1.000,0.46,114.3,ddpm16
lown_n100_sb,lown_n100_sb,10,epoch=0010-test_mean_score=-1.000,0.34,131.4,ddpm16
lown_n10_bare,lown_n10_bare,10,epoch=0010-test_mean_score=-1.000,0.14,105.4,ddpm16
lown_n20_zb,lown_n20_zb,10,epoch=0010-test_mean_score=-1.000,0.0,121.1,ddpm16
lown_n100_zb,lown_n100_zb,20,epoch=0020-test_mean_score=-1.000,0.04,120.4,ddpm16
lown_n10_zb,lown_n10_zb,10,epoch=0010-test_mean_score=-1.000,0.0,119.9,ddpm16
lown_n40_zb,lown_n40_zb,20,epoch=0020-test_mean_score=-1.000,0.04,118.4,ddpm16
lown_n20_bare,lown_n20_bare,20,epoch=0020-test_mean_score=-1.000,0.32,99.3,ddpm16
lown_n40_sb,lown_n40_sb,10,epoch=0010-test_mean_score=-1.000,0.26,120.7,ddpm16
lown_n20_sb,lown_n20_sb,10,epoch=0010-test_mean_score=-1.000,0.24,121.5,ddpm16
lown_n100_sb,lown_n100_sb,20,epoch=0020-test_mean_score=-1.000,0.74,123.8,ddpm16
lown_n40_bare,lown_n40_bare,20,epoch=0020-test_mean_score=-1.000,0.52,100.7,ddpm16
lown_n10_sb,lown_n10_sb,10,epoch=0010-test_mean_score=-1.000,0.1,79.4,ddpm16
lown_n10_bare,lown_n10_bare,20,epoch=0020-test_mean_score=-1.000,0.2,67.9,ddpm16
lown_n20_zb,lown_n20_zb,20,epoch=0020-test_mean_score=-1.000,0.0,113.8,ddpm16
lown_n10_zb,lown_n10_zb,20,epoch=0020-test_mean_score=-1.000,0.0,112.2,ddpm16
lown_n20_bare,lown_n20_bare,30,epoch=0030-test_mean_score=-1.000,0.24,66.1,ddpm16
lown_n40_bare,lown_n40_bare,30,epoch=0030-test_mean_score=-1.000,0.46,65.1,ddpm16
lown_n100_sb,lown_n100_sb,30,epoch=0030-test_mean_score=-1.000,0.74,112.6,ddpm16
lown_n10_bare,lown_n10_bare,30,epoch=0030-test_mean_score=-1.000,0.16,65.4,ddpm16
lown_n20_bare,lown_n20_bare,40,epoch=0040-test_mean_score=-1.000,0.26,67.3,ddpm16
lown_n40_sb,lown_n40_sb,20,epoch=0020-test_mean_score=-1.000,0.38,76.8,ddpm16
lown_n20_sb,lown_n20_sb,20,epoch=0020-test_mean_score=-1.000,0.24,78.2,ddpm16
lown_n40_bare,lown_n40_bare,40,epoch=0040-test_mean_score=-1.000,0.46,101.4,ddpm16
lown_n100_sb,lown_n100_sb,40,epoch=0040-test_mean_score=-1.000,0.78,75.1,ddpm16
lown_n10_sb,lown_n10_sb,20,epoch=0020-test_mean_score=-1.000,0.12,128.8,ddpm16
lown_n10_bare,lown_n10_bare,40,epoch=0040-test_mean_score=-1.000,0.22,101.1,ddpm16
lown_n20_bare,lown_n20_bare,50,epoch=0050-test_mean_score=-1.000,0.24,101.6,ddpm16
lown_n40_bare,lown_n40_bare,50,epoch=0050-test_mean_score=-1.000,0.5,105.7,ddpm16
lown_n100_sb,lown_n100_sb,50,epoch=0050-test_mean_score=-1.000,0.68,83.8,ddpm16
lown_n40_sb,lown_n40_sb,30,epoch=0030-test_mean_score=-1.000,0.3,75.0,ddpm16
lown_n10_bare,lown_n10_bare,50,epoch=0050-test_mean_score=-1.000,0.24,102.4,ddpm16
lown_n20_sb,lown_n20_sb,30,epoch=0030-test_mean_score=-1.000,0.28,126.7,ddpm16
lown_n10_sb,lown_n10_sb,30,epoch=0030-test_mean_score=-1.000,0.18,126.5,ddpm16
lown_n40_sb,lown_n40_sb,40,epoch=0040-test_mean_score=-1.000,0.24,121.7,ddpm16
lown_n40_sb,lown_n40_sb,50,epoch=0050-test_mean_score=-1.000,0.3,76.9,ddpm16
lown_n20_sb,lown_n20_sb,40,epoch=0040-test_mean_score=-1.000,0.32,127.4,ddpm16
lown_n10_sb,lown_n10_sb,40,epoch=0040-test_mean_score=-1.000,0.12,125.3,ddpm16
lown_n40_sb,lown_n40_sb,60,epoch=0060-test_mean_score=-1.000,0.28,121.4,ddpm16
lown_n20_sb,lown_n20_sb,50,epoch=0050-test_mean_score=-1.000,0.22,123.5,ddpm16
lown_n10_sb,lown_n10_sb,50,epoch=0050-test_mean_score=-1.000,0.12,126.1,ddpm16
