arm,axis,severity,perturb_seed,score,wall_sec
sb,lighting,1,7,0.78,166.6
hybrid_base,lighting,1,7,0.78,163.9
sb,lighting,1,42,0.82,183.7
hybrid_base,lighting,1,42,0.76,157.6
sb,lighting,1,2026,0.8,131.9
hybrid_base,lighting,1,2026,0.74,104.1
sb,lighting,1,99,0.68,131.3
hybrid_base,lighting,1,99,0.76,104.1
sb,lighting,2,99,0.32,131.4
hybrid_base,lighting,2,99,0.18,105.1
sb,color,1,7,0.82,132.0
hybrid_base,color,1,7,0.9,106.9
sb,color,1,42,0.82,128.3
hybrid_base,color,1,42,0.9,105.6
sb,color,1,2026,0.82,133.1
hybrid_base,color,1,2026,0.9,108.5
sb,color,1,99,0.82,136.0
hybrid_base,color,1,99,0.9,76.3
sb,color,2,99,0.44,82.7
hybrid_base,color,2,99,0.38,69.4
sb,camera,1,2026,0.44,82.1
hybrid_base,camera,1,2026,0.24,70.0
sb,camera,1,99,0.1,83.7
hybrid_base,camera,1,99,0.3,72.2
sb,camera,2,7,0.1,81.2
hybrid_base,camera,2,7,0.04,72.0
sb,camera,2,42,0.1,87.9
sb,camera,0,1234,0.8,130.1
hybrid_base,camera,2,42,0.34,75.1
sb,camera,2,2026,0.0,84.1
hybrid_base,camera,0,1234,0.84,108.3
hybrid_base,camera,2,2026,0.04,99.8
sb,camera,0,7,0.68,89.7
hybrid_base,camera,0,7,0.88,71.2
sb,camera,2,99,0.02,132.6
sb,camera,0,42,0.74,84.0
hybrid_base,camera,2,99,0.04,106.6
hybrid_base,camera,0,42,0.82,71.6
sb,camera,0,2026,0.74,79.3
sb,displace,1,2026,0.76,133.3
hybrid_base,camera,0,2026,0.82,73.7
hybrid_base,displace,1,2026,0.84,107.1
sb,camera,0,99,0.72,82.0
hybrid_base,camera,0,99,0.8,72.1
