arm,axis,severity,perturb_seed,score,wall_sec
hybrid_base,lighting,2,7,0.22,65.4
sb,lighting,2,7,0.3,78.9
hybrid_base,lighting,2,42,0.18,68.8
sb,lighting,2,42,0.34,78.9
hybrid_base,lighting,2,2026,0.2,68.3
sb,lighting,2,2026,0.28,77.4
hybrid_base,color,2,7,0.38,68.6
sb,color,2,7,0.44,77.1
hybrid_base,color,2,42,0.38,63.0
sb,color,2,42,0.44,76.5
hybrid_base,color,2,2026,0.38,65.9
sb,color,2,2026,0.44,83.0
hybrid_base,displace,1,1234,0.82,64.2
hybrid_base,camera,1,7,0.76,64.3
sb,displace,1,1234,0.78,77.9
hybrid_base,displace,1,7,0.68,64.8
hybrid_base,camera,1,42,0.74,64.9
sb,displace,1,7,0.66,78.0
hybrid_base,displace,1,42,0.88,65.6
sb,camera,1,7,0.56,78.7
sb,displace,1,42,0.78,80.8
hybrid_base,displace,2,1234,0.24,70.6
sb,camera,1,42,0.5,79.6
sb,displace,2,1234,0.42,77.1
hybrid_base,displace,2,7,0.0,63.5
hybrid_base,displace,2,42,0.48,63.5
sb,displace,2,7,0.18,74.0
sb,displace,2,42,0.4,74.4
hybrid_base,distractor,1,1234,0.88,63.2
sb,distractor,1,1234,0.74,77.1
hybrid_base,distractor,1,7,0.9,66.1
sb,distractor,1,7,0.72,75.0
hybrid_base,distractor,1,42,0.86,69.0
sb,distractor,1,42,0.78,75.9
hybrid_base,distractor,2,1234,0.3,66.4
sb,distractor,2,1234,0.2,80.0
hybrid_base,distractor,2,7,0.3,68.6
sb,distractor,2,7,0.26,76.5
hybrid_base,distractor,2,42,0.26,62.6
sb,distractor,2,42,0.3,76.2
