run,task,epoch,ckpt,success
06.55.36_train_futurealign_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.04
12.54.09_train_futurealign_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.1
12.54.09_train_futurealign_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.12
12.54.09_train_futurealign_pnp_single,PickPlaceCounterToCabinet,150,epoch=0150-test_mean_score=-1.000,0.14
01.28.28_train_futurealign_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.26
06.16.41_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.08
06.16.32_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.16
06.16.32_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.16
03.59.28_train_densepatch_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.12
05.08.39_train_densepatch_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.08
05.15.33_train_densepatch_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.18
05.21.18_train_densepatch_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.32
02.02.10_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,10,epoch=0010-test_mean_score=-1.000,0.02
02.02.13_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,10,epoch=0010-test_mean_score=-1.000,0.06
02.02.10_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,20,epoch=0020-test_mean_score=-1.000,0.1
02.02.13_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,20,epoch=0020-test_mean_score=-1.000,0.06
02.02.10_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,30,epoch=0030-test_mean_score=-1.000,0.04
02.02.13_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,30,epoch=0030-test_mean_score=-1.000,0.06
02.02.10_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,40,epoch=0040-test_mean_score=-1.000,0.1
02.02.13_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,40,epoch=0040-test_mean_score=-1.000,0.16
02.02.10_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.1
02.02.13_train_unpool_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.18
