run,arm,epoch,ckpt,success,wall_sec,eval
18.00.12_train_stateadd_square_noft,stateadd_square_noft,10,epoch=0010-test_mean_score=-1.000,0.0,116.1,ddpm16
18.00.20_train_unpool_kepler_square_noft,unpool_kepler_square_noft,10,epoch=0010-test_mean_score=-1.000,0.56,122.8,ddpm16
18.00.04_train_stateadd_square_noft,stateadd_square_noft,10,epoch=0010-test_mean_score=-1.000,0.28,122.7,ddpm16
18.00.28_train_unpool_kepler_square_noft,unpool_kepler_square_noft,10,epoch=0010-test_mean_score=-1.000,0.54,119.8,ddpm16
18.00.36_train_stateadd_square_noft,stateadd_square_noft,10,epoch=0010-test_mean_score=-1.000,0.1,118.4,ddpm16
18.00.12_train_stateadd_square_noft,stateadd_square_noft,20,epoch=0020-test_mean_score=-1.000,0.0,113.7,ddpm16
18.00.28_train_unpool_kepler_square_noft,unpool_kepler_square_noft,20,epoch=0020-test_mean_score=-1.000,0.74,115.1,ddpm16
17.49.40_train_densepatch_square_noft,densepatch_square_noft,10,epoch=0010-test_mean_score=-1.000,0.32,370.9,ddpm16
18.00.36_train_stateadd_square_noft,stateadd_square_noft,20,epoch=0020-test_mean_score=-1.000,0.38,122.5,ddpm16
18.00.12_train_stateadd_square_noft,stateadd_square_noft,30,epoch=0030-test_mean_score=-1.000,0.0,113.0,ddpm16
18.00.20_train_unpool_kepler_square_noft,unpool_kepler_square_noft,20,epoch=0020-test_mean_score=-1.000,0.72,119.9,ddpm16
18.00.04_train_stateadd_square_noft,stateadd_square_noft,20,epoch=0020-test_mean_score=-1.000,0.36,124.0,ddpm16
20.10.06_train_diffusion_transformer_hybrid_square_noft,diffusion_transformer_hybrid_square_noft,10,epoch=0010-test_mean_score=-1.000,0.56,94.0,ddpm16
18.00.28_train_unpool_kepler_square_noft,unpool_kepler_square_noft,30,epoch=0030-test_mean_score=-1.000,0.82,120.6,ddpm16
18.00.36_train_stateadd_square_noft,stateadd_square_noft,30,epoch=0030-test_mean_score=-1.000,0.46,119.0,ddpm16
18.00.20_train_unpool_kepler_square_noft,unpool_kepler_square_noft,30,epoch=0030-test_mean_score=-1.000,0.82,122.5,ddpm16
18.00.04_train_stateadd_square_noft,stateadd_square_noft,30,epoch=0030-test_mean_score=-1.000,0.44,122.0,ddpm16
20.10.06_train_diffusion_transformer_hybrid_square_noft,diffusion_transformer_hybrid_square_noft,20,epoch=0020-test_mean_score=-1.000,0.8,97.5,ddpm16
20.10.06_train_diffusion_transformer_hybrid_square_noft,diffusion_transformer_hybrid_square_noft,30,epoch=0030-test_mean_score=-1.000,0.84,91.9,ddpm16
20.46.24_train_stateadd_square_noft,stateadd_square_noft,10,epoch=0010-test_mean_score=-1.000,0.2,119.0,ddpm16
18.00.28_train_unpool_kepler_square_noft,unpool_kepler_square_noft,40,epoch=0040-test_mean_score=-1.000,0.82,117.6,ddpm16
18.00.36_train_stateadd_square_noft,stateadd_square_noft,40,epoch=0040-test_mean_score=-1.000,0.46,116.4,ddpm16
17.49.40_train_densepatch_square_noft,densepatch_square_noft,20,epoch=0020-test_mean_score=-1.000,0.68,373.0,ddpm16
18.00.20_train_unpool_kepler_square_noft,unpool_kepler_square_noft,40,epoch=0040-test_mean_score=-1.000,0.76,121.2,ddpm16
20.10.06_train_diffusion_transformer_hybrid_square_noft,diffusion_transformer_hybrid_square_noft,40,epoch=0040-test_mean_score=-1.000,0.84,98.0,ddpm16
18.00.04_train_stateadd_square_noft,stateadd_square_noft,40,epoch=0040-test_mean_score=-1.000,0.48,118.6,ddpm16
20.10.06_train_diffusion_transformer_hybrid_square_noft,diffusion_transformer_hybrid_square_noft,50,epoch=0050-test_mean_score=-1.000,0.9,90.7,ddpm16
20.46.24_train_stateadd_square_noft,stateadd_square_noft,20,epoch=0020-test_mean_score=-1.000,0.26,118.6,ddpm16
18.00.28_train_unpool_kepler_square_noft,unpool_kepler_square_noft,50,epoch=0050-test_mean_score=-1.000,0.82,114.3,ddpm16
18.00.36_train_stateadd_square_noft,stateadd_square_noft,50,epoch=0050-test_mean_score=-1.000,0.34,115.4,ddpm16
18.00.20_train_unpool_kepler_square_noft,unpool_kepler_square_noft,50,epoch=0050-test_mean_score=-1.000,0.86,116.2,ddpm16
18.00.04_train_stateadd_square_noft,stateadd_square_noft,50,epoch=0050-test_mean_score=-1.000,0.54,76.1,ddpm16
17.49.40_train_densepatch_square_noft,densepatch_square_noft,30,epoch=0030-test_mean_score=-1.000,0.72,184.9,ddpm16
17.49.40_train_densepatch_square_noft,densepatch_square_noft,40,epoch=0040-test_mean_score=-1.000,0.62,184.6,ddpm16
17.49.40_train_densepatch_square_noft,densepatch_square_noft,50,epoch=0050-test_mean_score=-1.000,0.6,187.3,ddpm16
